TRAVELER_ID,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_FREQ,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8
f002073,1,0.25,0,0,0.2727272727272727,0.7272727272727273,0.45098039215686275,0.16666666666666666,0.0,0.5,0.0,0.5,0.8333333333333334,0.3333333333333333,1.0
f003958,1,0.0,0,0,0.2727272727272727,0.8181818181818182,0.0392156862745098,0.5,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.0
f008635,1,0.0,0,1,0.18181818181818182,0.6363636363636364,0.45098039215686275,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
f012540,1,0.0,0,1,0.09090909090909091,0.18181818181818182,0.0392156862745098,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334
f001501,0,0.5,1,0,0.6363636363636364,0.6363636363636364,0.21568627450980393,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,1.0
f002530,1,0.25,0,0,0.09090909090909091,0.2727272727272727,0.21568627450980393,0.0,0.8333333333333334,0.5,1.0,1.0,0.5,0.8333333333333334,0.16666666666666666
f000392,1,0.5,1,0,0.0,0.45454545454545453,0.45098039215686275,0.0,0.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5
f000876,1,0.75,1,0,0.09090909090909091,0.45454545454545453,0.45098039215686275,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
f016347,1,0.5,1,0,0.45454545454545453,0.45454545454545453,0.45098039215686275,0.16666666666666666,0.3333333333333333,0.0,0.5,0.8333333333333334,0.0,1.0,0.0
f001137,0,0.25,0,0,0.36363636363636365,0.7272727272727273,0.0392156862745098,0.16666666666666666,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.0,1.0
f011576,1,0.5,1,0,0.36363636363636365,0.7272727272727273,0.45098039215686275,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
f015427,1,0.75,1,0,0.09090909090909091,0.36363636363636365,0.45098039215686275,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333
f001047,0,0.5,1,0,0.45454545454545453,0.7272727272727273,0.09803921568627451,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666
