COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
7,e_e003047,10,2,7,1
2,e_e003047,10,2,7,1
4,e_e003047,10,2,7,1
6,e_e003047,10,2,7,1
2,e_e003048,7,1,7,3
1,e_e003048,7,2,7,3
3,e_e003048,1,1,7,1
1,e_e003066,1,1,6,1
1,e_e003075,8,1,4,1
1,e_e003091,1,1,6,1
1,e_e003093,1,2,4,1
1,e_e003136,7,2,4,3
1,e_e003166,7,2,3,1
1,e_e003169,1,2,5,1
1,e_e003183,1,1,4,1
1,e_e003192,8,1,3,1
1,e_e003195,8,1,3,1
1,e_e003215,8,1,3,1
1,e_e003216,8,1,3,1
1,e_e003217,8,1,3,1
1,e_e003224,8,2,4,1
1,e_e003234,9,1,3,1
3,e_e003234,9,1,3,1
5,e_e003234,9,1,3,1
2,e_e003234,9,1,3,1
4,e_e003234,9,1,3,1
4,e_e003244,2,1,1,1
1,e_e003244,1,1,5,1
3,e_e003244,2,1,1,1
2,e_e003244,2,1,2,1
1,e_e003254,8,1,4,1
2,e_e003256,2,2,1,1
1,e_e003256,1,2,5,1
1,e_e003284,8,1,3,1
1,e_e003310,7,2,4,1
1,e_e003313,8,2,3,1
1,e_e003385,7,2,3,1
2,e_e003385,7,2,3,1
1,e_e003395,7,2,3,3
3,e_e003395,7,1,3,3
2,e_e003395,7,1,3,1
1,e_e003397,3,2,6,1
2,e_e003399,7,2,6,1
1,e_e003399,7,2,6,1
3,e_e003403,11,2,6,1
2,e_e003403,11,2,6,1
1,e_e003403,11,2,6,1
1,e_e003448,8,1,3,1
1,e_e003450,3,2,8,1
2,e_e003450,5,2,5,1
1,e_e003457,1,1,4,1
1,e_e003459,7,2,3,3
2,e_e003460,2,1,1,1
1,e_e003460,1,1,4,1
3,e_e003460,2,2,1,1
1,e_e003461,3,2,6,1
1,e_e003488,7,2,4,1
1,e_e003489,9,2,5,1
1,e_e003494,8,1,4,3
2,e_e003496,7,2,4,3
1,e_e003496,7,2,4,3
1,e_e003499,1,2,4,1
