travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e001343,"['물향기 수목원', '황금 장수촌', '메르오르카페 본점', 'GS 더 프레시 평택동삭점', '화성 융릉과 건릉', '바다향 왕 코다리 안녕점', '카페 다이아몬드']",5.0,5.0,5.0,2023-05-27,2023-05-28,2
e_e001359,"['드리우니', '강화농협 하나로마트', 'Haeandong-ro 전원주택', '농가의 식탁', '바그다드', '스타필드 고양']",4.8333335,4.3333335,4.8333335,2023-05-27,2023-05-28,2
e_e001367,"['롯데몰 김포공항점', '내촌', '강서 둘레길 1코스(개화산 숲길)', '서울어린이대공원 동물원']",4.5,4.5,4.25,2023-05-27,2023-05-28,2
e_e001368,"['코끼리 베이글', '스타벅스 선유동 이리 빌딩점', '선유도공원', '대박굼터']",4.25,4.25,4.25,2023-05-27,2023-05-27,1
e_e001371,"['삼정 아트 테라스 정동', '엔드밀 성수점', '공간 와디즈', '발랑스', '오레오 팝업스토어', '부산역', '히바리', '청계천', '덕수궁 돌담길', '현대백화점 판교점', '라비떼', '페이브 베이커리 서판교점', '송계옥 판교점', '수서역']",4.0,3.9285715,4.0,2023-06-09,2023-06-10,2
e_e001375,"['영종대교 휴게소', '마리랑 카페', '왕산해수욕장', '강지네 해물 손칼국수']",4.5,4.0,4.25,2023-06-06,2023-06-06,1
e_e001393,"['동인천역 1호선', '세븐 호텔', '신포국제시장', '제이콥 스핏 제리아', '세븐일레븐 신포 로데오점', '세븐 호텔', '하버파크호텔', '월미 바다역', '월미문화의 거리 역', '월미도 선착장', '구읍뱃터', '대성 수산', '작약도', '바다의 시간', '구읍뱃터', '월미도 선착장', '월미문화의 거리', '박물관 역', '산동 만두 공갈빵', '신포 닭강정 본점', '하버파크호텔', '한중문화관', '대불호텔 전시관', '생활사 전시관', '인천개항 박물관', '인천개항장 근대건축전시관', '많다 복 본점', '짜장면 박물관', '국만 다복', '트릭아트 스토리', '하버파크호텔', '인천역 1호선']",4.75,4.53125,4.65625,2023-06-02,2023-06-04,3
e_e001398,"['오름', '동두천 자연휴양림', '동두천 자연휴양림', '동두천 치유센터', '놀자 숲', '점심', '왕 방지기']",4.857143,4.857143,4.857143,2023-05-31,2023-06-01,2
e_e001401,"['케르만 파리에 스테이션 점', '스타필드 코엑스몰', '설빙 서울 중구 동대문점', '동대문디자인플라자', '아스가르드 시어터', '청수 면옥', '롯데리아 서울 역사점', '카카오 프렌즈 서울역점', '서울역']",4.111111,3.5555556,3.5555556,2023-05-27,2023-05-27,1
e_e001431,"['민머루해수욕장', '강화나 덜길 11코스(석모도 바람길)', '신소당', '민머루해수욕장']",3.75,3.5,3.75,2023-06-03,2023-06-03,1
e_e001438,"['용인 동백지구 호수 공원', '블루 키라 붐 아울렛', '윈드 커피']",5.0,5.0,5.0,2023-06-06,2023-06-07,2
e_e001443,"['정원 에프엔비', '아이파크몰 용산점', '큐씨어터', '청년 닭발 1987', '온정 돈가스', '쌈지길', '서울숲', '상무 초밥 구로 디지털 점']",4.25,4.0,4.0,2023-05-28,2023-05-29,2
e_e001462,"['부천터미널 소풍', '골든 튤립에버 용인 호텔', '갤러리아백화점 광교점', '아쿠아 플라넷 광교', '아웃백 스테이크하우스 갤러리아 광교점', '펀트리하우스 광교점', '아쿠아 가든 갤러리아 광교점', '베에 베네 갤러리아백화점 광교점', '골든 튤립에버 용인 호텔', '에버랜드', '호암미술관', '더 레이어 하우스']",4.5,4.4166665,4.5,2023-05-28,2023-05-30,3
e_e001481,"['일산 호수공원', '일영 대추나무집 일산점', '코알라 빈스', '일산 호수공원', '이케아 고양점', '남도술상 김포 구래점', '바바 헤어 구래점', '김포 장릉', '대명 가든', '수산공원', '구래 한식뷔페', '김포 문수산성', '김포국제조각 공원', '홍리향', '조선 부뚜막 김포 구래점', '한강 신도시 호수 공원']",4.75,4.625,4.5625,2023-05-30,2023-06-02,4
e_e001511,"['마작 펜션', '홈플러스 영등포점', '바람의 마을', '후아후아', '대부바다 향기테마파크', '버거 비치']",4.8333335,4.8333335,4.8333335,2023-06-04,2023-06-05,2
