TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,VISIT_AREA_NM,TRAVEL_PERSONA
f006054,여,20,나홀로 여행,08,소하 염전 경주,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,황련단길,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,덴다 스타 호텔 헤리티지 경주점,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,로드 1,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,소향몽,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006060,여,20,2인 여행(가족 외),08,이마트 강릉점,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,참치몽,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,4년 집 초당순두부,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,스타일링 작업실,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,횡성휴게소 인천방향,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,강릉 G7 펜션,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006060,여,20,2인 여행(가족 외),08,모나 용평리조트,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션
f006065,여,20,부모 동반 여행,08,완도 회 식당,강원 방문/거주지 구분 없음/39세 이하/특별미션
f006065,여,20,부모 동반 여행,08,보사노바 커피 로프터스 속초점,강원 방문/거주지 구분 없음/39세 이하/특별미션
f006065,여,20,부모 동반 여행,08,속초해수욕장,강원 방문/거주지 구분 없음/39세 이하/특별미션
f006065,여,20,부모 동반 여행,08,배가 네 찜,강원 방문/거주지 구분 없음/39세 이하/특별미션
f006065,여,20,부모 동반 여행,08,온 더 버튼,강원 방문/거주지 구분 없음/39세 이하/특별미션
f006070,여,30,2인 가족 여행,08,고릴라 캠핑 대구점,"대구,경북 방문/경상권 거주/39세 이하/부부/일반미션"
f006070,여,30,2인 가족 여행,08,롯데 아웃렛 이시아폴리스점,"대구,경북 방문/경상권 거주/39세 이하/부부/일반미션"
f006070,여,30,2인 가족 여행,08,메가박스 대구 이시아,"대구,경북 방문/경상권 거주/39세 이하/부부/일반미션"
f006074,여,20,2인 여행(가족 외),08,교리 김밥 경주 본점,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,첨성대,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,황남 샌드,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,신라 제면,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,시나 셀프 사진관,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,치즈 오,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,브라운 도트 보문점,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,황남 경주 식당,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,로드풋,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,선화,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,경주 동궁원,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006074,여,20,2인 여행(가족 외),08,주렁주렁 경주 보문점,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006082,남,20,2인 여행(가족 외),08,부산역,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,해운대해수욕장,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,매드독스 해운대 직영점,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,노량진역 1호선,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,센텀시티 스파랜드,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,제이엠 커피 로프터스 신세계백화점 센텀시티점,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,신세계백화점 센텀시티점,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,합천 일류 돼지국밥 사상점,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,김해국제공항,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,김포국제공항 국내선,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,대건 명가 돼지국밥,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006082,남,20,2인 여행(가족 외),08,마마 게스트하우스 해운대점,"부산,울산,경남 방문/경상권 외 거주/39세 이하/나홀로 여행/일반미션"
f006083,남,20,3인 이상 여행(가족 외),08,신청원 시장,강원 방문/수도권/강원 거주/39세 이하/3인 이상 친구/일반미션
