TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER,CLUSTER_NEW
e003628,1,0.0,0.5,0.5,0.8333333333333334,0.5,0.1666666666666666,0.5,0.0,3
e010838,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2
e002143,1,0.25,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,2.0,11
e011125,1,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,4
e007557,0,0.5,0.1666666666666666,0.8333333333333334,0.0,0.6666666666666666,1.0,0.1666666666666666,0.0,12
e009575,0,0.0,0.8333333333333334,0.5,0.5,0.5,0.5,0.8333333333333334,0.0,0
e006930,1,1.0,0.5,0.0,1.0,0.5,0.1666666666666666,1.0,2.0,29
e001428,1,0.25,0.1666666666666666,0.1666666666666666,0.5,0.1666666666666666,0.0,0.8333333333333334,2.0,11
e000966,0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,0.0,2.0,26
e001081,0,0.25,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,2.0,8
e002197,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
e006905,1,0.25,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.3333333333333333,2.0,11
e003336,1,0.0,0.1666666666666666,0.0,0.5,0.5,0.1666666666666666,0.6666666666666666,0.0,3
e010064,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.1666666666666666,1.0,4
e001452,0,0.25,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.0,8
e000387,0,0.25,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5,0.0,6
e009700,1,0.0,0.8333333333333334,0.5,0.3333333333333333,0.6666666666666666,0.1666666666666666,1.0,0.0,3
e011208,0,0.25,0.3333333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,0.8333333333333334,2.0,8
e004309,1,1.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,1.0,28
e008079,0,0.5,0.0,0.0,0.1666666666666666,1.0,0.1666666666666666,1.0,2.0,14
e001126,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,17
e003369,0,0.5,0.6666666666666666,0.0,1.0,0.5,0.1666666666666666,0.5,1.0,13
e000317,0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,6
e007879,1,0.5,0.5,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.0,15
e006900,1,0.0,0.3333333333333333,0.0,1.0,0.5,0.1666666666666666,0.6666666666666666,0.0,3
e002411,0,0.25,0.1666666666666666,0.0,0.1666666666666666,0.5,0.6666666666666666,0.8333333333333334,1.0,7
e010200,0,0.5,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.5,0.5,2.0,14
e002279,1,0.25,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.1666666666666666,1.0,2.0,11
e003020,0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,1.0,1
e009940,0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,2
e011150,0,0.0,1.0,0.1666666666666666,0.5,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.0,0
e002070,1,0.0,0.3333333333333333,0.1666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.1666666666666666,2.0,5
e003386,1,0.0,0.5,0.1666666666666666,0.0,0.8333333333333334,0.5,0.8333333333333334,1.0,4
e007861,1,0.25,0.1666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.1666666666666666,0.1666666666666666,1.0,10
e003235,1,0.25,0.0,0.3333333333333333,0.5,0.5,0.0,1.0,2.0,11
