TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,CLUSTER_NEW
f016335,1,0.0,2인 여행(가족 외),신세계백화점 센텀시티점,5
f016335,1,0.0,2인 여행(가족 외),해운대해수욕장,5
f011668,1,0.25,2인 여행(가족 외),바자라,9
f011668,1,0.25,2인 여행(가족 외),장군 차산 들 농원 농업회 사법인,9
f011668,1,0.25,2인 여행(가족 외),니드 잇 프로젝트,9
f011668,1,0.25,2인 여행(가족 외),카츠 토다이,9
f011668,1,0.25,2인 여행(가족 외),수릉원,9
f011668,1,0.25,2인 여행(가족 외),수로왕릉,9
f003454,1,0.75,2인 가족 여행,운대리 자작나무 숲,23
f003454,1,0.75,2인 가족 여행,인제산촌민속박물관,23
f003454,1,0.75,2인 가족 여행,박인환 문학관,23
f001478,1,0.0,나홀로 여행,흰 여울 문화마을,5
f001478,1,0.0,나홀로 여행,GS25 광안 해변점,5
f001478,1,0.0,나홀로 여행,광안리해수욕장,5
f001478,1,0.0,나홀로 여행,럽꾸악세사리,5
f001478,1,0.0,나홀로 여행,히피 몬드 리빙,5
f001478,1,0.0,나홀로 여행,인 더 스트리트 부산 해운대점,5
f001478,1,0.0,나홀로 여행,KTG 상상마당 부산,5
f001478,1,0.0,나홀로 여행,롯데백화점 부산본점,5
f013199,1,0.25,2인 여행(가족 외),국립경주박물관,9
f013199,1,0.25,2인 여행(가족 외),황련단길,9
f013199,1,0.25,2인 여행(가족 외),경주엑스포 대공원,9
f013199,1,0.25,2인 여행(가족 외),경주 보문 실탄사격장,9
f013199,1,0.25,2인 여행(가족 외),바니 베어뮤지엄,9
f001271,1,0.0,3인 이상 여행(가족 외),광안리해수욕장,5
f001271,1,0.0,3인 이상 여행(가족 외),오브젝트 에디트,5
f006551,1,0.25,3인 이상 여행(가족 외),영남루,9
f001082,1,0.25,3인 이상 여행(가족 외),비진도,9
f001082,1,0.25,3인 이상 여행(가족 외),비진도해수욕장,9
f001082,1,0.25,3인 이상 여행(가족 외),선유봉,9
f001082,1,0.25,3인 이상 여행(가족 외),팡팡 만원 요트,9
f001082,1,0.25,3인 이상 여행(가족 외),스카이라인 루지 통영,9
f015818,0,0.25,2인 여행(가족 외),경주월드,7
f015818,0,0.25,2인 여행(가족 외),가마솥 족발,7
f001097,1,0.25,2인 가족 여행,흰 여울 문화마을,9
f001097,1,0.25,2인 가족 여행,밀란 더 마켓,9
f001097,1,0.25,2인 가족 여행,해운대 블루라인파크 미포 정거장,9
f001097,1,0.25,2인 가족 여행,해운대 블루라인파크 송정 정거장,9
f001097,1,0.25,2인 가족 여행,좌동 성당,9
f001097,1,0.25,2인 가족 여행,센텀시티 스파랜드,9
f001097,1,0.25,2인 가족 여행,전포 카페거리,9
f001097,1,0.25,2인 가족 여행,스타벅스 부산 서면점,9
f000021,1,1.0,자녀 동반 여행,백담사,28
f000021,1,1.0,자녀 동반 여행,오색약수,28
f000021,1,1.0,자녀 동반 여행,오색 탄산온천,28
f000021,1,1.0,자녀 동반 여행,초당 할머니순두부,28
f013198,1,0.25,2인 여행(가족 외),양양농협 하나로마트 본점,10
f013198,1,0.25,2인 여행(가족 외),양양전통시장,10
f014507,0,0.5,2인 여행(가족 외),동생말,14
f014507,0,0.5,2인 여행(가족 외),이 기대 해안산책로,14
