antecedents,consequents,support,confidence
frozenset({'단양구경시장'}),frozenset({'CLUSTER_-1'}),0.0034872135503155096,0.30882352941176466
frozenset({'단양구경시장'}),frozenset({'CLUSTER_1'}),0.0011624045167718366,0.10294117647058823
frozenset({'한밭수목원'}),frozenset({'CLUSTER_-1'}),0.004815675855197609,0.22834645669291337
frozenset({'한밭수목원'}),frozenset({'CLUSTER_3'}),0.006808369312520757,0.3228346456692913
frozenset({'한밭수목원'}),frozenset({'CLUSTER_1'}),0.007140484888741282,0.3385826771653543
frozenset({'대전시립미술관'}),frozenset({'CLUSTER_-1'}),0.0018266356692128861,0.18032786885245902
frozenset({'대전시립미술관'}),frozenset({'CLUSTER_3'}),0.0033211557622052474,0.32786885245901637
frozenset({'대전시립미술관'}),frozenset({'CLUSTER_1'}),0.0033211557622052474,0.32786885245901637
frozenset({'경기전'}),frozenset({'CLUSTER_-1'}),0.0024908668216539354,0.24193548387096772
frozenset({'경기전'}),frozenset({'CLUSTER_3'}),0.0036532713384257723,0.3548387096774194
frozenset({'경기전'}),frozenset({'CLUSTER_1'}),0.0029890401859847225,0.29032258064516125
frozenset({'전동성당'}),frozenset({'CLUSTER_-1'}),0.002158751245433411,0.2166666666666667
frozenset({'전동성당'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.23333333333333334
frozenset({'전동성당'}),frozenset({'CLUSTER_3'}),0.004151444702756559,0.4166666666666667
frozenset({'국립세종수목원'}),frozenset({'CLUSTER_3'}),0.002324809033543673,0.25
frozenset({'국립세종수목원'}),frozenset({'CLUSTER_1'}),0.0029890401859847225,0.3214285714285714
frozenset({'국립세종수목원'}),frozenset({'CLUSTER_-1'}),0.002324809033543673,0.25
frozenset({'국립세종수목원'}),frozenset({'CLUSTER_2'}),0.0011624045167718366,0.125
frozenset({'초원 사진관'}),frozenset({'CLUSTER_3'}),0.0036532713384257723,0.3666666666666667
frozenset({'초원 사진관'}),frozenset({'CLUSTER_-1'}),0.002324809033543673,0.23333333333333334
frozenset({'초원 사진관'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.23333333333333334
frozenset({'초원 사진관'}),frozenset({'CLUSTER_0'}),0.0014945200929923613,0.15
frozenset({'대천해수욕장'}),frozenset({'CLUSTER_3'}),0.003985386914646297,0.42857142857142855
frozenset({'대천해수욕장'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.25
frozenset({'대천해수욕장'}),frozenset({'CLUSTER_-1'}),0.0014945200929923613,0.1607142857142857
frozenset({'경암동 철길마을'}),frozenset({'CLUSTER_-1'}),0.0028229823978744603,0.2537313432835821
frozenset({'경암동 철길마을'}),frozenset({'CLUSTER_3'}),0.0033211557622052474,0.29850746268656714
frozenset({'경암동 철길마을'}),frozenset({'CLUSTER_0'}),0.0011624045167718366,0.1044776119402985
frozenset({'경암동 철길마을'}),frozenset({'CLUSTER_1'}),0.0028229823978744603,0.2537313432835821
frozenset({'여수 해상 케이블카'}),frozenset({'CLUSTER_3'}),0.004317502490866822,0.52
frozenset({'여수 해상 케이블카'}),frozenset({'CLUSTER_1'}),0.0014945200929923613,0.18
frozenset({'여수 해상 케이블카'}),frozenset({'CLUSTER_-1'}),0.0011624045167718366,0.13999999999999999
frozenset({'용두암'}),frozenset({'CLUSTER_3'}),0.004815675855197609,0.4202898550724638
frozenset({'용두암'}),frozenset({'CLUSTER_1'}),0.0029890401859847225,0.2608695652173913
frozenset({'용두암'}),frozenset({'CLUSTER_-1'}),0.0028229823978744603,0.2463768115942029
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_3'}),0.013118565260710728,0.3480176211453745
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_1'}),0.011457987379608103,0.3039647577092511
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_-1'}),0.009299236134174693,0.24669603524229075
frozenset({'곽지해수욕장'}),frozenset({'CLUSTER_1'}),0.004151444702756559,0.25252525252525254
frozenset({'곽지해수욕장'}),frozenset({'CLUSTER_3'}),0.005479907007638658,0.3333333333333333
frozenset({'곽지해수욕장'}),frozenset({'CLUSTER_-1'}),0.004317502490866822,0.26262626262626265
frozenset({'곽지해수욕장'}),frozenset({'CLUSTER_0'}),0.0018266356692128861,0.1111111111111111
frozenset({'금오름'}),frozenset({'CLUSTER_1'}),0.004483560278977084,0.24770642201834864
frozenset({'금오름'}),frozenset({'CLUSTER_-1'}),0.0038193291265360345,0.21100917431192662
frozenset({'금오름'}),frozenset({'CLUSTER_3'}),0.0073065426768515445,0.4036697247706422
frozenset({'금오름'}),frozenset({'CLUSTER_0'}),0.0019926934573231483,0.11009174311926606
frozenset({'판포 포구'}),frozenset({'CLUSTER_1'}),0.004649618067087346,0.2857142857142857
frozenset({'판포 포구'}),frozenset({'CLUSTER_3'}),0.00631019594818997,0.3877551020408163
frozenset({'판포 포구'}),frozenset({'CLUSTER_-1'}),0.0034872135503155096,0.21428571428571425
frozenset({'제주동문재래 야시장'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.2592592592592593
frozenset({'제주동문재래 야시장'}),frozenset({'CLUSTER_-1'}),0.0028229823978744603,0.3148148148148148
frozenset({'제주동문재래 야시장'}),frozenset({'CLUSTER_3'}),0.0029890401859847225,0.3333333333333333
frozenset({'금능해수욕장'}),frozenset({'CLUSTER_3'}),0.005812022583859183,0.3608247422680413
frozenset({'금능해수욕장'}),frozenset({'CLUSTER_1'}),0.004649618067087346,0.288659793814433
frozenset({'금능해수욕장'}),frozenset({'CLUSTER_-1'}),0.0038193291265360345,0.2371134020618557
frozenset({'우도'}),frozenset({'CLUSTER_1'}),0.0028229823978744603,0.2463768115942029
frozenset({'우도'}),frozenset({'CLUSTER_-1'}),0.0028229823978744603,0.2463768115942029
frozenset({'우도'}),frozenset({'CLUSTER_3'}),0.004151444702756559,0.36231884057971014
frozenset({'아르떼 뮤지엄 제주'}),frozenset({'CLUSTER_3'}),0.0036532713384257723,0.271604938271605
frozenset({'아르떼 뮤지엄 제주'}),frozenset({'CLUSTER_-1'}),0.004317502490866822,0.3209876543209877
frozenset({'아르떼 뮤지엄 제주'}),frozenset({'CLUSTER_1'}),0.003985386914646297,0.2962962962962963
frozenset({'아르떼 뮤지엄 제주'}),frozenset({'CLUSTER_0'}),0.0014945200929923613,0.1111111111111111
frozenset({'천지연폭포'}),frozenset({'CLUSTER_1'}),0.003985386914646297,0.2608695652173913
frozenset({'천지연폭포'}),frozenset({'CLUSTER_-1'}),0.004815675855197609,0.31521739130434784
frozenset({'천지연폭포'}),frozenset({'CLUSTER_3'}),0.0051477914314181335,0.33695652173913043
frozenset({'중문색달해수욕장'}),frozenset({'CLUSTER_1'}),0.0028229823978744603,0.3090909090909091
frozenset({'중문색달해수욕장'}),frozenset({'CLUSTER_-1'}),0.002158751245433411,0.23636363636363636
frozenset({'중문색달해수욕장'}),frozenset({'CLUSTER_0'}),0.0014945200929923613,0.1636363636363636
frozenset({'중문색달해수욕장'}),frozenset({'CLUSTER_3'}),0.0024908668216539354,0.2727272727272727
frozenset({'협재해수욕장'}),frozenset({'CLUSTER_1'}),0.008302889405513119,0.26595744680851063
